SDIE v4 RAG Pipeline — Inizio Slab with tag.dxf
Processed: 2026-06-05T10:18:43.067619+00:00
Components classified: 5809
Graph: 5809 nodes, 8402 edges

Slabs detected: 697
Total area:      44267.978 m²
Total concrete:  9198.433 m³
Total shuttering:44267.978 m²

Benchmark overall accuracy: 0.0%
  SLAB-151: 1.893 m², 200 mm (local_thk_label), 0.379 m³
  SLAB-152: 0.448 m², 200 mm (local_thk_label), 0.090 m³
  SLAB-153: 1.063 m², 200 mm (local_thk_label), 0.213 m³
  SLAB-154: 1.028 m², 200 mm (local_thk_label), 0.206 m³
  SLAB-155: 0.510 m², 200 mm (local_thk_label), 0.102 m³
  SLAB-156: 23.935 m², 200 mm (local_thk_label), 4.787 m³
  SLAB-157: 12.764 m², 200 mm (local_thk_label), 2.553 m³
  SLAB-158: 19.200 m², 200 mm (local_thk_label), 3.840 m³
  SLAB-159: 13.993 m², 200 mm (local_thk_label), 2.799 m³
  SLAB-160: 11.342 m², 200 mm (local_thk_label), 2.268 m³
  SLAB-161: 36.219 m², 200 mm (local_thk_label), 7.244 m³
  SLAB-162: 76.492 m², 200 mm (local_thk_label), 15.298 m³
  SLAB-163: 26.915 m², 200 mm (local_thk_label), 5.383 m³
  SLAB-164: 116.122 m², 200 mm (local_thk_label), 23.224 m³
  SLAB-165: 24.175 m², 200 mm (local_thk_label), 4.835 m³
  SLAB-166: 30.227 m², 200 mm (local_thk_label), 6.045 m³
  SLAB-167: 1.328 m², 200 mm (local_thk_label), 0.266 m³
  SLAB-168: 50.852 m², 200 mm (local_thk_label), 10.170 m³
  SLAB-169: 20.224 m², 200 mm (local_thk_label), 4.045 m³
  SLAB-170: 1.507 m², 200 mm (local_thk_label), 0.301 m³
  SLAB-171: 3.181 m², 200 mm (local_thk_label), 0.636 m³
  SLAB-172: 131.553 m², 200 mm (local_thk_label), 26.311 m³
  SLAB-173: 77.577 m², 200 mm (local_thk_label), 15.515 m³
  SLAB-174: 66.017 m², 200 mm (local_thk_label), 13.203 m³
  SLAB-175: 2.581 m², 200 mm (local_thk_label), 0.516 m³
  SLAB-176: 1.252 m², 200 mm (local_thk_label), 0.250 m³
  SLAB-177: 8.460 m², 200 mm (local_thk_label), 1.692 m³
  SLAB-178: 1.158 m², 200 mm (local_thk_label), 0.232 m³
  SLAB-179: 2.973 m², 200 mm (local_thk_label), 0.595 m³
  SLAB-180: 7.627 m², 200 mm (local_thk_label), 1.525 m³
  SLAB-181: 264.766 m², 200 mm (local_thk_label), 52.953 m³
  SLAB-182: 1.311 m², 250 mm (local_thk_label), 0.328 m³
  SLAB-183: 69.567 m², 200 mm (local_thk_label), 13.913 m³
  SLAB-184: 18.773 m², 200 mm (local_thk_label), 3.755 m³
  SLAB-185: 84.283 m², 200 mm (local_thk_label), 16.857 m³
  SLAB-186: 113.336 m², 200 mm (local_thk_label), 22.667 m³
  SLAB-187: 42.723 m², 200 mm (local_thk_label), 8.545 m³
  SLAB-188: 2.875 m², 200 mm (local_thk_label), 0.575 m³
  SLAB-189: 81.228 m², 200 mm (local_thk_label), 16.246 m³
  SLAB-190: 63.056 m², 200 mm (local_thk_label), 12.611 m³
