SDIE v4 RAG Pipeline — Trust office Slab & Beam with tag.dxf
Processed: 2026-06-05T11:15:34.905028+00:00
Components classified: 7287
Graph: 7287 nodes, 8324 edges

Slabs detected: 5330
Total area:      137828.113 m²
Total concrete:  27547.887 m³
Total shuttering:137828.113 m²

Benchmark overall accuracy: 0.0%
  SLAB-171: 1.667 m², 200 mm (default_note), 0.333 m³
  SLAB-172: 4.489 m², 200 mm (default_note), 0.898 m³
  SLAB-173: 10.503 m², 200 mm (default_note), 2.101 m³
  SLAB-174: 5.065 m², 200 mm (default_note), 1.013 m³
  SLAB-175: 14.792 m², 200 mm (default_note), 2.958 m³
  SLAB-176: 32.129 m², 200 mm (default_note), 6.426 m³
  SLAB-177: 5.103 m², 200 mm (default_note), 1.021 m³
  SLAB-178: 7.801 m², 200 mm (default_note), 1.560 m³
  SLAB-179: 3.377 m², 200 mm (default_note), 0.675 m³
  SLAB-180: 1.703 m², 200 mm (default_note), 0.341 m³
  SLAB-181: 4.105 m², 200 mm (default_note), 0.821 m³
  SLAB-182: 3.725 m², 200 mm (default_note), 0.745 m³
  SLAB-183: 2.413 m², 200 mm (default_note), 0.483 m³
  SLAB-184: 1.809 m², 200 mm (default_note), 0.362 m³
  SLAB-185: 1.226 m², 200 mm (default_note), 0.245 m³
  SLAB-186: 2.612 m², 200 mm (default_note), 0.522 m³
  SLAB-187: 2.461 m², 200 mm (default_note), 0.492 m³
  SLAB-188: 5.535 m², 200 mm (default_note), 1.107 m³
  SLAB-189: 4.806 m², 200 mm (default_note), 0.961 m³
  SLAB-190: 7.566 m², 200 mm (default_note), 1.513 m³
  SLAB-191: 2.413 m², 200 mm (default_note), 0.483 m³
  SLAB-192: 5.494 m², 200 mm (default_note), 1.099 m³
  SLAB-193: 5.099 m², 200 mm (default_note), 1.020 m³
  SLAB-194: 5.423 m², 200 mm (default_note), 1.085 m³
  SLAB-195: 2.635 m², 200 mm (default_note), 0.527 m³
  SLAB-196: 3.383 m², 200 mm (default_note), 0.677 m³
